date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:22	22699/22699	---M-Z	200	added ('OK')	text/html	etag:%2258ab-4c2ee77a2b700%22	http://www.lab.westilian.com/bingo-admin/file-manager.html	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/file-manager.html	(from )
15:04:23	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Dec%202018%2014:04:22%20GMT	http://www.lab.westilian.com/robots.txt		(from )
15:04:23	1153/1153	---M-Z	200	added ('OK')	text/css	etag:%22481-4c003453e7a80%22	http://www.lab.westilian.com/bingo-admin/css/reset.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/reset.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:23	13428/13428	---M-Z	200	added ('OK')	text/css	etag:%223474-4c2ef19488d00%22	http://www.lab.westilian.com/bingo-admin/css/layout.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/layout.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:24	5578/5578	---M-Z	200	added ('OK')	text/css	etag:%2215ca-4bfb797d3c080%22	http://www.lab.westilian.com/bingo-admin/css/themes.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/themes.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:24	7960/7960	---M-Z	200	added ('OK')	text/css	etag:%221f18-4c1a495de1700%22	http://www.lab.westilian.com/bingo-admin/css/typography.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/typography.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:25	198340/198340	---MCZ	200	added ('OK')	text/css	etag:%22306c4-4c1f3cc8f4e00%22	http://www.lab.westilian.com/bingo-admin/css/styles.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/styles.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:25	9456/9456	---M-Z	200	added ('OK')	text/css	etag:%2224f0-4bfb7689eca80%22	http://www.lab.westilian.com/bingo-admin/css/shCore.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/shCore.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:26	2681/2681	---M-Z	200	added ('OK')	text/css	etag:%22a79-4bea31e87b700%22	http://www.lab.westilian.com/bingo-admin/css/bootstrap.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/bootstrap.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:26	6821/6821	---M-Z	200	added ('OK')	text/css	etag:%221aa5-4bfdcfbdb3480%22	http://www.lab.westilian.com/bingo-admin/css/jquery.jqplot.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/jquery.jqplot.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:26	45653/45653	---M-Z	200	added ('OK')	text/css	etag:%22b255-4c140543a0980%22	http://www.lab.westilian.com/bingo-admin/css/jquery-ui-1.8.18.custom.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/jquery-ui-1.8.18.custom.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:27	20839/20839	---M-Z	200	added ('OK')	text/css	etag:%225167-4c18ddfcac500%22	http://www.lab.westilian.com/bingo-admin/css/data-table.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/data-table.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:27	27337/27337	---M-Z	200	added ('OK')	text/css	etag:%226ac9-4c19282e0d000%22	http://www.lab.westilian.com/bingo-admin/css/form.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/form.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:28	66064/66064	---MCZ	200	added ('OK')	text/css	etag:%2210210-4c18e29f0b400%22	http://www.lab.westilian.com/bingo-admin/css/ui-elements.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/ui-elements.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:28	10412/10412	---M-Z	200	added ('OK')	text/css	etag:%2228ac-4c18dec4f1d80%22	http://www.lab.westilian.com/bingo-admin/css/wizard.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/wizard.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:29	76938/76938	---M-Z	200	added ('OK')	text/css	etag:%2212c8a-4bf4aff25e000%22	http://www.lab.westilian.com/bingo-admin/css/sprite.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/sprite.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:29	58469/58469	---M-Z	200	added ('OK')	text/css	etag:%22e465-4c237d3213000%22	http://www.lab.westilian.com/bingo-admin/css/gradient.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/gradient.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:31	4593/4593	---M-Z	200	added ('OK')	application/javascript	etag:%2211f1-4be025704ff80%22	http://www.lab.westilian.com/bingo-admin/js/jquery.ui.touch-punch.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.ui.touch-punch.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:31	93871/93871	---MCZ	200	added ('OK')	application/javascript	etag:%2216eaf-4bc93a8bcc300%22	http://www.lab.westilian.com/bingo-admin/js/jquery-1.7.1.min.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery-1.7.1.min.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:33	35454/35454	---M-Z	200	added ('OK')	application/javascript	etag:%228a7e-4c01f967aec00%22	http://www.lab.westilian.com/bingo-admin/js/chosen.jquery.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/chosen.jquery.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:33	20277/20277	---M-Z	200	added ('OK')	application/javascript	etag:%224f35-4c01f9a6a0080%22	http://www.lab.westilian.com/bingo-admin/js/uniform.jquery.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/uniform.jquery.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:34	2649/2649	---M-Z	200	added ('OK')	application/javascript	etag:%22a59-4bd57aa313a80%22	http://www.lab.westilian.com/bingo-admin/js/bootstrap-dropdown.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/bootstrap-dropdown.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:34	257366/257366	---MCZ	200	added ('OK')	application/javascript	etag:%223ed56-4bd9b2f6b8a00%22	http://www.lab.westilian.com/bingo-admin/js/jquery-ui-1.8.18.custom.min.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery-ui-1.8.18.custom.min.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:34	12816/12816	---M-Z	200	added ('OK')	application/javascript	etag:%223210-4b96859224c80%22	http://www.lab.westilian.com/bingo-admin/js/bootstrap-colorpicker.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/bootstrap-colorpicker.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:35	2722/2722	---M-Z	200	added ('OK')	application/javascript	etag:%22aa2-4bd6edab21a00%22	http://www.lab.westilian.com/bingo-admin/js/sticky.full.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/sticky.full.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:35	7131/7131	---M-Z	200	added ('OK')	application/javascript	etag:%221bdb-4bcf7057f1080%22	http://www.lab.westilian.com/bingo-admin/js/jquery.noty.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.noty.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:36	8560/8560	---M-Z	200	added ('OK')	application/javascript	etag:%222170-469c5ff354e80%22	http://www.lab.westilian.com/bingo-admin/js/selectToUISlider.jQuery.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/selectToUISlider.jQuery.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:36	23731/23731	---M-Z	200	added ('OK')	application/javascript	etag:%225cb3-4b7639dec5880%22	http://www.lab.westilian.com/bingo-admin/js/fg.menu.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/fg.menu.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:37	11891/11891	---M-Z	200	added ('OK')	application/javascript	etag:%222e73-4bd9a507fab00%22	http://www.lab.westilian.com/bingo-admin/js/jquery.tagsinput.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.tagsinput.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:38	35664/35664	---M-Z	200	added ('OK')	application/javascript	etag:%228b50-4bd9a85aa8200%22	http://www.lab.westilian.com/bingo-admin/js/jquery.cleditor.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.cleditor.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:38	9324/9324	---M-Z	200	added ('OK')	application/javascript	etag:%22246c-4ac87ad7c2780%22	http://www.lab.westilian.com/bingo-admin/js/jquery.tipsy.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.tipsy.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:39	5095/5095	---M-Z	200	added ('OK')	application/javascript	etag:%2213e7-4bc56d8b82a00%22	http://www.lab.westilian.com/bingo-admin/js/jquery.peity.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.peity.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:40	9469/9469	---M-Z	200	added ('OK')	application/javascript	etag:%2224fd-49449e9fc6b80%22	http://www.lab.westilian.com/bingo-admin/js/jquery.simplemodal.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.simplemodal.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:40	7663/7663	---M-Z	200	added ('OK')	application/javascript	etag:%221def-4743c88c03400%22	http://www.lab.westilian.com/bingo-admin/js/jquery.jBreadCrumb.1.1.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.jBreadCrumb.1.1.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:41	9514/9514	---M-Z	200	added ('OK')	application/javascript	etag:%22252a-4b3e639896c00%22	http://www.lab.westilian.com/bingo-admin/js/jquery.colorbox-min.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.colorbox-min.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
15:04:42	3060/3060	---M-Z	200	added ('OK')	application/javascript	etag:%22bf4-4bf3089518880%22	http://www.lab.westilian.com/bingo-admin/js/jquery.idTabs.min.js	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/js/jquery.idTabs.min.js	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
